X,Y
2546.0,5759.0
2547.382486532758,5710.05519388217
2544.0,5650.0
2542.5047741209064,5633.6169166769305
2521.240217387658,5435.024875255352
2520.0,5426.0
2506.2407043529925,5348.776164091322
2483.721520150746,5287.279821367381
2471.0,5256.0
2422.7626098118726,5141.871359570137
2408.0,5111.0
2351.6959651456186,5010.911685233057
2333.0,4983.0
2271.0,4902.0
2229.0,4852.0
2171.9680081483357,4792.091603848627
2146.0,4766.0
2095.7647948879344,4715.8669833895865
2042.0,4660.0
2022.0147971752026,4637.718830381268
1958.0,4558.0
1888.0,4443.0
1874.448196136972,4415.028356597441
1825.0,4286.0
1815.5786761240306,4254.965058525076
1791.0,4160.0
1786.8511836421576,4142.309923434528
1754.0,3974.0
1753.4406585320326,3970.3438041127033
1736.0,3828.0
1726.1838966468263,3717.2546649361784
1719.0,3634.0
1712.458401070538,3561.8826121704624
1698.0,3407.0
1686.406111001295,3287.4400178289825
1681.0,3233.0
1664.0,3060.0
1661.9328088670359,3038.8163333081957
1649.950227697779,2914.526725756791
1646.0,2872.0
1635.6141212151363,2755.57152433892
1632.0,2714.0
1621.0,2587.0
1618.7436617274936,2561.835822922142
1588.0,2231.0
1587.4906172286996,2225.460194510722
1579.2493053397466,2133.47501122892
1571.5359255334504,2045.945685198604
1569.0,2018.0
1544.025406962954,1747.0596160235868
1543.0,1736.0
1529.0,1585.0
1521.4081325877592,1501.9331712694868
1494.7018678764298,1209.262449692863
1492.0,1180.0
1483.2589783182032,1087.564962578148
1476.0,1010.0
1462.0,855.0
1459.8103148756406,830.984493312439
1438.0,596.0
1434.2885474570664,556.0889836134307
1417.0,370.0
1404.0,230.0
1401.5181647905406,202.93800882299087
1380.0265666196046,-33.75490166453781
1377.0,-67.0
1364.5859523410024,-201.4886995685733
1359.0,-261.0
1344.0,-421.0
1338.7539455821511,-477.5173261486995
1313.0,-757.0
1304.897911198361,-845.7163609953666
1292.0,-989.0
1291.3127829403902,-995.6352561670876
1289.0,-1020.0
1276.0,-1163.0
1260.7653071432455,-1331.863053601823
1250.0,-1451.0
1247.9649879087249,-1473.4322450232362
1235.0,-1614.0
1221.0,-1758.0
1210.5563421041938,-1871.0587572671375
1206.0,-1921.0
1191.0,-2085.0
1187.326644319349,-2126.0231166741405
1170.0,-2321.0
1167.9347123824143,-2343.373711751085
1151.0,-2522.0
1142.779697166341,-2609.7272694228277
1126.9319376349583,-2781.662488915687
1124.0,-2814.0
1114.6139355364937,-2919.427413038869
1103.0,-3052.0
1094.6726256191444,-3145.437858157649
1076.0,-3346.0
1066.1571652076043,-3444.2798794485143
1065.0,-3456.0
1052.7037570905939,-3586.0658602958983
1046.0,-3658.0
1023.2316628206812,-3898.4201226452064
1018.0,-3953.0
1001.2552576659767,-4123.27607459767
994.0,-4192.0
983.8611924494327,-4284.175622611887
980.0,-4318.0
961.0895150069507,-4477.973084474019
927.0,-4724.0
883.0,-4952.0
871.6041310471214,-5004.850197615781
853.66242810275,-5077.860433123536
825.0,-5163.0
823.9292732505475,-5166.14673778384
801.0,-5232.0
765.0,-5320.0
732.9169012437561,-5384.449838931367
686.4814106519167,-5460.650747956534
669.0,-5485.0
632.0082551538105,-5530.784364588187
612.0,-5553.0
554.4086589841149,-5609.135604811772
497.0,-5655.0
467.1048345591453,-5675.401809666334
442.0,-5691.0
345.0,-5740.0
312.1728768602,-5752.884365271664
207.07800779517478,-5783.146446695777
188.0,-5787.0
87.0,-5800.0
26.805061952540875,-5802.197873193497
-51.0,-5798.0
-74.0,-5795.0
-112.0041822496427,-5789.4165613522555
-204.0,-5772.0
-321.0,-5736.0
-375.18544805278134,-5714.4201394056745
-509.0,-5650.0
-568.1562381870303,-5615.9975682472095
-578.0,-5610.0
-734.0,-5494.0
-776.037583315188,-5456.852467452713
-813.0,-5422.0
-890.9887908414904,-5339.9486667194515
-915.0,-5313.0
-1006.1835236485797,-5200.2931707489
-1033.0,-5161.0
-1118.8630120721905,-5024.460589307398
-1145.0,-4981.0
-1187.4649873122637,-4905.150562938547
-1213.1455669966144,-4846.582318615742
-1216.0,-4840.0
-1295.0,-4652.0
-1311.4511148588736,-4608.162068208943
-1334.0,-4540.0
-1365.1489077134945,-4429.803375987576
-1412.0,-4249.0
-1431.3317722869576,-4162.477736104715
-1436.0,-4129.0
-1475.2863581730337,-3819.0775922869575
-1481.0,-3770.0
-1490.0,-3628.0
-1492.4202435779273,-3549.9348871721527
-1498.0,-3339.0
-1499.1230091975804,-3230.087358372576
-1498.777188820012,-3068.234611410594
-1498.0,-2963.0
-1496.39780703741,-2827.9144334113544
-1493.0,-2664.0
-1488.251351439668,-2506.5251751546894
-1480.6058271291577,-2289.3677361807418
-1480.0,-2271.0
-1470.0,-2050.0
-1469.4839606412668,-2040.9380058512104
-1456.0,-1809.0
-1448.159988946133,-1675.4065949669814
-1443.0,-1602.0
-1440.0705241372539,-1560.020902795736
-1416.7908605892578,-1226.4403732119756
-1411.0,-1145.0
-1402.0400842542376,-1026.0859657045148
-1399.0,-988.0
-1392.6354912230622,-908.3775973408901
-1382.4167843586579,-780.6930757643601
